time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3
42,2,1,4,0.15384615384615385,0.4395241,0.07616831,0.32453918,0.15976834
43,0,-1,17,0.5,0.34744608,0.06514602,0.2950616,0.29234633
43,1,0,16,0.47058823529411764,0.35650948,0.054288816,0.29786253,0.2913392
43,2,1,8,0.23529411764705882,0.26246455,0.038220637,0.2579055,0.4414093
44,0,-1,17,0.5,0.4064219,0.06478631,0.2815704,0.24722135
44,1,0,16,0.47058823529411764,0.4190824,0.0539292,0.2835584,0.24342999
44,2,1,8,0.23529411764705882,0.37090844,0.03798233,0.24062884,0.35048044
45,0,-1,17,0.5,0.4314061,0.06410233,0.26622438,0.23826717
45,1,0,16,0.47058823529411764,0.44553825,0.05322539,0.2672838,0.23395257
45,2,1,8,0.23529411764705882,0.4071403,0.037158817,0.21943146,0.33626944
46,0,-1,17,0.5,0.45142415,0.06214687,0.25098065,0.23544833
46,1,0,16,0.47058823529411764,0.46671656,0.051170982,0.25111815,0.23099428
46,2,1,8,0.23529411764705882,0.43384802,0.03374549,0.19818902,0.33421743
47,0,-1,17,0.5,0.46866876,0.060606986,0.23958054,0.23114367
47,1,0,16,0.47058823529411764,0.48494714,0.049558494,0.23903677,0.2264576
47,2,1,8,0.23529411764705882,0.4562249,0.03150414,0.18434235,0.32792863
48,0,-1,18,0.5,0.47671175,0.05495003,0.24168068,0.22665755
48,1,0,17,0.4722222222222222,0.4924183,0.044241272,0.24132204,0.2220184
48,2,1,9,0.25,0.46157327,0.02435447,0.20355421,0.31051797
49,0,-1,20,0.5,0.5040509,0.06232214,0.22934583,0.20428105
49,1,0,19,0.475,0.519464,0.05314915,0.22840254,0.19898427
49,2,1,11,0.275,0.5042743,0.044128492,0.1950621,0.25653508
50,0,-1,23,0.5,0.5561737,0.056772612,0.20629434,0.18075934
50,1,0,22,0.4782608695652174,0.5717852,0.04861622,0.20445529,0.17514335
50,2,1,14,0.30434782608695654,0.58237165,0.039611332,0.16972886,0.20828818
51,0,-1,25,0.5,0.54099494,0.06520126,0.21588153,0.17792231
