time,clone_id,parent_id,mutation_size,vaf,S,R1,R2,R3,T1,T2,T3
25,1,0,3,0.25,0.82536143,0.10062387,0.036667712,0.037346985,1.0,0.0,0.0
25,2,0,2,0.16666666666666666,0.43093187,0.28336674,0.17006257,0.11563883,1.0,0.0,0.0
25,3,1,2,0.16666666666666666,0.9897548,0.00022857082,0.00447523,0.00554133,1.0,0.0,0.0
25,4,2,1,0.08333333333333333,0.37161353,0.34178802,0.256384,0.030214427,1.0,0.0,0.0
25,5,3,1,0.08333333333333333,0.9989273,7.563603e-09,4.6945166e-07,0.0010722149,1.0,0.0,0.0
26,0,-1,7,0.5,0.66263217,0.17789765,0.082850985,0.07661917,1.0,0.0,0.0
26,1,0,4,0.2857142857142857,0.8739381,0.07594927,0.02480346,0.0253092,1.0,0.0,0.0
26,2,0,2,0.14285714285714285,0.44796568,0.30641925,0.13190249,0.11371263,1.0,0.0,0.0
26,3,1,3,0.21428571428571427,0.9945933,0.00011231212,0.0022192623,0.0030752101,1.0,0.0,0.0
26,4,2,1,0.07142857142857142,0.3853114,0.3922763,0.18571785,0.03669445,1.0,0.0,0.0
26,5,3,1,0.07142857142857142,0.9989717,7.2569297e-09,4.5165658e-07,0.0010278961,1.0,0.0,0.0
26,6,3,1,0.07142857142857142,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
27,0,-1,7,0.5,0.6684437,0.1833959,0.07430457,0.07385577,1.0,0.0,0.0
27,1,0,4,0.2857142857142857,0.8783204,0.07631869,0.022457127,0.022903748,1.0,0.0,0.0
27,2,0,2,0.14285714285714285,0.45922345,0.32383242,0.107310876,0.10963325,1.0,0.0,0.0
27,3,1,3,0.21428571428571427,0.9954912,8.8256755e-05,0.0017612203,0.002659291,1.0,0.0,0.0
27,4,2,1,0.07142857142857142,0.38728878,0.43146938,0.14088126,0.040360607,1.0,0.0,0.0
27,5,3,1,0.07142857142857142,0.9990125,6.9741226e-09,4.3520174e-07,0.0009870718,1.0,0.0,0.0
27,6,3,1,0.07142857142857142,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
28,0,-1,7,0.5,0.67312306,0.18741144,0.068521164,0.07094429,1.0,0.0,0.0
28,1,0,4,0.2857142857142857,0.8823164,0.076588064,0.020358922,0.020736571,1.0,0.0,0.0
28,2,0,2,0.14285714285714285,0.46729565,0.33625296,0.09189369,0.10455771,1.0,0.0,0.0
28,3,1,3,0.21428571428571427,0.9961164,7.222489e-05,0.001455525,0.0023558205,1.0,0.0,0.0
28,4,2,1,0.07142857142857142,0.3825862,0.46116793,0.114430696,0.041815165,1.0,0.0,0.0
28,5,3,1,0.07142857142857142,0.9990502,6.7125256e-09,4.199442e-07,0.00094934873,1.0,0.0,0.0
28,6,3,1,0.07142857142857142,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
29,0,-1,8,0.5,0.6148299,0.21494426,0.07965091,0.09057499,1.0,0.0,0.0
29,1,0,4,0.25,0.88594896,0.07678648,0.018475028,0.01878953,1.0,0.0,0.0
29,2,0,2,0.125,0.47825944,0.34481236,0.0808983,0.09602998,1.0,0.0,0.0
29,3,1,3,0.1875,0.9965798,6.0800492e-05,0.0012370505,0.0021223892,1.0,0.0,0.0
29,4,2,1,0.0625,0.38352016,0.48359126,0.0968106,0.03607801,1.0,0.0,0.0
29,5,3,1,0.0625,0.9990853,6.4697505e-09,4.0575105e-07,0.0009143834,1.0,0.0,0.0
29,6,3,1,0.0625,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
29,7,0,1,0.0625,0.16970083,0.38756526,0.18834247,0.2543915,1.0,0.0,0.0
30,0,-1,8,0.5,0.61743516,0.2242288,0.07422781,0.084108286,1.0,0.0,0.0
30,1,0,4,0.25,0.88920176,0.076951526,0.016792176,0.017054662,1.0,0.0,0.0
30,2,0,2,0.125,0.48395616,0.35598886,0.06979846,0.09025648,1.0,0.0,0.0
30,3,1,3,0.1875,0.9969385,5.2266772e-05,0.0010732453,0.0019360433,1.0,0.0,0.0
30,4,2,1,0.0625,0.37394947,0.5116395,0.078919485,0.035491504,1.0,0.0,0.0
30,5,3,1,0.0625,0.9991178,6.243892e-09,3.9251697e-07,0.00088188396,1.0,0.0,0.0
30,6,3,1,0.0625,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
30,7,0,1,0.0625,0.16552833,0.4366259,0.1751461,0.22269961,1.0,0.0,0.0
31,0,-1,8,0.5,0.6193441,0.23356575,0.069304705,0.07778546,1.0,0.0,0.0
31,1,0,4,0.25,0.8921132,0.07709707,0.015284513,0.0155051835,1.0,0.0,0.0
31,2,0,2,0.125,0.48863122,0.36597425,0.06107372,0.08432081,1.0,0.0,0.0
31,3,1,3,0.1875,0.9972252,4.5664678e-05,0.0009459864,0.001783122,1.0,0.0,0.0
31,4,2,1,0.0625,0.36254704,0.53762823,0.06567051,0.034154203,1.0,0.0,0.0
31,5,3,1,0.0625,0.999148,6.033173e-09,3.801426e-07,0.00085159205,1.0,0.0,0.0
31,6,3,1,0.0625,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
31,7,0,1,0.0625,0.15920238,0.48855993,0.16049896,0.19173875,1.0,0.0,0.0
32,0,-1,8,0.5,0.6206095,0.2427862,0.06478028,0.07182404,1.0,0.0,0.0
32,1,0,4,0.25,0.8947159,0.07723604,0.013930305,0.014117766,1.0,0.0,0.0
32,2,0,2,0.125,0.4924264,0.37519202,0.05395785,0.07842374,1.0,0.0,0.0
32,3,1,3,0.1875,0.9974603,4.0416027e-05,0.0008443668,0.0016549276,1.0,0.0,0.0
32,4,2,1,0.0625,0.34979922,0.5623191,0.055492446,0.032389224,1.0,0.0,0.0
32,5,3,1,0.0625,0.9991763,5.8362404e-09,3.6855042e-07,0.00082330185,1.0,0.0,0.0
32,6,3,1,0.0625,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
32,7,0,1,0.0625,0.15073192,0.5411174,0.14520988,0.16294076,1.0,0.0,0.0
33,0,-1,8,0.5,0.62149656,0.25035614,0.061030775,0.06711649,1.0,0.0,0.0
33,1,0,4,0.25,0.89698684,0.07740344,0.012723694,0.01288606,1.0,0.0,0.0
33,2,0,2,0.125,0.495561,0.38376158,0.047673136,0.07300421,1.0,0.0,0.0
33,3,1,3,0.1875,0.9976568,3.61514e-05,0.0007614198,0.0015456085,1.0,0.0,0.0
33,4,2,1,0.0625,0.33602485,0.5861127,0.047447763,0.03041462,1.0,0.0,0.0
33,5,3,1,0.0625,0.9992028,5.6516947e-09,3.576653e-07,0.00079681503,1.0,0.0,0.0
33,6,3,1,0.0625,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
33,7,0,1,0.0625,0.14189176,0.5816473,0.13386782,0.14259309,1.0,0.0,0.0
34,0,-1,8,0.5,0.6219186,0.2578607,0.057617627,0.06260305,1.0,0.0,0.0
34,1,0,4,0.25,0.89892566,0.077624395,0.011652935,0.011796953,1.0,0.0,0.0
34,2,0,2,0.125,0.49787676,0.39204326,0.04261723,0.067462735,1.0,0.0,0.0
34,3,1,3,0.1875,0.9978238,3.2623742e-05,0.00069249026,0.0014510824,1.0,0.0,0.0
34,4,2,1,0.0625,0.32148567,0.60919476,0.040947482,0.028372047,1.0,0.0,0.0
34,5,3,1,0.0625,0.99922764,5.478396e-09,3.474243e-07,0.0007719658,1.0,0.0,0.0
34,6,3,1,0.0625,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
34,7,0,1,0.0625,0.13230625,0.62200934,0.12221567,0.12346871,1.0,0.0,0.0
35,0,-1,10,0.5,0.5221201,0.24670582,0.14345822,0.08771586,1.0,0.0,0.0
35,1,0,4,0.2,0.90052795,0.077925086,0.010707881,0.010839092,1.0,0.0,0.0
35,2,0,2,0.1,0.4995131,0.39999396,0.038251713,0.06224127,1.0,0.0,0.0
35,3,1,3,0.15,0.99796766,2.9661744e-05,0.0006343425,0.0013683868,1.0,0.0,0.0
35,4,2,1,0.05,0.30642384,0.63162166,0.03560425,0.026350249,1.0,0.0,0.0
35,5,3,1,0.05,0.99925107,5.315359e-09,3.377691e-07,0.00074860145,1.0,0.0,0.0
35,6,3,1,0.05,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
35,7,0,2,0.1,0.068215,0.33059058,0.4315605,0.16963392,1.0,0.0,0.0
35,8,0,1,0.05,0.23148109,0.34566334,0.24650553,0.17635007,1.0,0.0,0.0
35,9,7,1,0.05,0.014139076,1.6036086e-06,0.752528,0.23333128,1.0,0.0,0.0
36,0,-1,12,0.5,0.4366226,0.23537517,0.15388818,0.17411411,1.0,0.0,0.0
36,1,0,5,0.20833333333333334,0.72371995,0.1113646,0.097283944,0.06763153,1.0,0.0,0.0
36,2,0,3,0.125,0.33627963,0.2887095,0.02296649,0.35204443,1.0,0.0,0.0
36,3,1,3,0.125,0.9980929,2.7142823e-05,0.0005846667,0.0012953281,1.0,0.0,0.0
36,4,2,1,0.041666666666666664,0.2910712,0.65337336,0.031152792,0.02440262,1.0,0.0,0.0
36,5,3,1,0.041666666666666664,0.999273,5.1616826e-09,3.2865208e-07,0.00072660216,1.0,0.0,0.0
36,6,3,1,0.041666666666666664,1.0,2.3451946e-13,1.1876547e-10,5.1119325e-13,1.0,0.0,0.0
36,7,0,2,0.08333333333333333,0.063666046,0.34829113,0.4232302,0.16481262,1.0,0.0,0.0
36,8,0,1,0.041666666666666664,0.23199165,0.35420296,0.24051642,0.17328894,1.0,0.0,0.0
36,9,7,1,0.041666666666666664,0.014971312,1.799528e-06,0.74662143,0.23840548,1.0,0.0,0.0
36,10,1,1,0.041666666666666664,0.011121708,0.24366643,0.4469803,0.29823163,1.0,0.0,0.0
